---,WeaponID,Level,DamageMultiplier,RangeMultiplier,CooldownMultiplier
Sword_1,Sword,1,1.0,1.0,1.0
Sword_2,Sword,2,1.1,1.05,0.95
Sword_3,Sword,3,1.21,1.1,0.9
Sword_4,Sword,4,1.33,1.15,0.86
Sword_5,Sword,5,1.46,1.2,0.82
Sword_6,Sword,6,1.61,1.25,0.78
Sword_7,Sword,7,1.77,1.3,0.74
Sword_8,Sword,8,1.95,1.35,0.7
Axe_1,Axe,1,1.0,1.0,1.0
Axe_2,Axe,2,1.15,1.0,0.93
Axe_3,Axe,3,1.32,1.05,0.87
Axe_4,Axe,4,1.52,1.1,0.81
Axe_5,Axe,5,1.75,1.15,0.76
Axe_6,Axe,6,2.01,1.2,0.71
Axe_7,Axe,7,2.31,1.25,0.67
Axe_8,Axe,8,2.66,1.3,0.63
